实验编号,方法名称,向量检索,BM25分词,上下文增强,知识图谱,平均响应时间(s),混合检索加速(%),价格查询准确率(%),品类查询准确率(%),位置查询准确率(%),整体准确率(%)
实验1,Baseline RAG,bge-small-zh,默认英文,否,否,12.79,9.9,75,100,75,83.3
实验2,CR Enhanced,bge-small-zh,默认英文,是(gemma2:2b),否,13.64,8.5,100,83,75,86.0
实验3,Jieba+KG,bge-small-zh,jieba中文,否,是,10.13,19.9,100,83,50,77.7

问题编号,问题内容,实验1-方法A(s),实验1-方法B(s),实验2-方法A(s),实验2-方法B(s),实验3-方法A(s),实验3-方法B(s),最佳实验,最佳方法
Q1,一号餐厅有哪些窗口或档口？,24.42,7.42,24.25,11.25,22.02,3.37,实验3,方法B
Q2,二号餐厅一楼有哪些档口？,9.82,10.23,19.43,14.09,7.18,9.84,实验3,方法A
Q3,哪些窗口提供包子类食品？,21.02,21.74,6.68,7.16,8.17,7.76,实验2,方法A
Q4,2元可以买到哪些食品？,21.67,21.99,13.53,13.55,17.50,14.42,实验2,方法A
Q5,5元以下有什么早餐选择？,12.91,18.54,16.83,14.39,38.03,15.24,实验1,方法A
Q6,一号餐厅最便宜的粥是多少钱？,5.79,5.59,6.82,5.83,7.14,7.22,实验1,方法B
Q7,我爱我粥在哪个餐厅的哪个窗口？,5.35,5.20,6.34,6.28,6.73,5.85,实验1,方法B
Q8,天津包子档口在几号窗口？,4.66,3.22,4.67,4.73,5.42,5.25,实验2,方法A
Q9,二号餐厅10号窗口是什么档口？,4.46,6.17,6.89,8.28,4.57,2.73,实验3,方法B
Q10,早餐想喝粥有哪些选择？,11.68,10.29,14.45,27.31,26.14,28.84,实验1,方法B
Q11,哪里可以买到手工水饺？,7.89,7.79,7.23,6.94,7.27,7.23,实验2,方法B
Q12,想吃面条有哪些窗口？,7.92,8.76,7.48,8.50,5.77,7.56,实验3,方法A
Q13,民族风味在哪个食堂？,5.42,5.68,5.22,5.17,5.29,5.09,实验3,方法B
Q14,有哪些窗口提供烧腊类食品？,5.08,4.63,19.82,10.64,8.87,18.45,实验1,方法B
Q15,哪个档口的包子种类最多？,19.15,18.91,5.43,5.35,20.40,6.50,实验2,方法B
Q16,一号餐厅有哪些2元的粥？,11.80,13.82,23.83,12.06,10.71,11.55,实验3,方法A
Q17,二号餐厅哪些窗口有1.5元的食品？,6.78,9.92,6.76,15.45,5.99,5.84,实验3,方法B
Q18,我爱我粥都卖什么价格是多少？,21.80,21.65,32.17,32.62,22.84,23.22,实验1,方法B
Q19,天津包子和香港九龙包哪个更便宜？,10.78,10.43,8.77,8.88,14.63,9.92,实验2,方法A
Q20,一号餐厅和二号餐厅哪个档口更多？,8.45,6.16,13.03,13.32,8.13,6.75,实验1,方法B

性能指标,实验1-方法A,实验1-方法B,实验2-方法A,实验2-方法B,实验3-方法A,实验3-方法B
平均响应时间(s),12.79,11.52,13.64,12.48,12.64,10.13
最快响应时间(s),4.46,3.22,4.67,4.73,4.57,2.73
最慢响应时间(s),38.79,21.99,32.17,32.62,38.03,28.84
成功率(%),100,100,100,100,100,100

关键发现,描述
CR消歧能力,天津包子定位从0%提升至100%(Q8)
CR信息丢失,档口名称查询从100%下降至0%(Q9)
Jieba加速效果,混合检索速度提升从9.9%增至19.9%
数据结构问题,结构化列表数据限制了CR的语境提取能力
Reranking缺失,缺少重排序导致相关性排序不够精准
